Bildbetrachter,org.gnome.eog,,
Billard,de.billardgl.Billardgl,,
BilligSweeper,xyz.stuerz.BilligSweeper,,
BIMP,org.gimp.GIMP.Plugin.BIMP,,
BIMP,org.gimp.GIMP.Plugin.BIMP,,
Bino,org.bino3d.bino,,
Birdtray,com.ulduzsoft.Birdtray,,
Bitcoin Core,org.bitcoincore.bitcoin-qt,,
BitcoinHD Core,org.btchd.btchd-qt,,
Bitfighter,org.bitfighter.Bitfighter,,
Bitwarden,com.bitwarden.desktop,,
Black Box,com.raggesilver.BlackBox,,
Blackbody,eu.nimmerfort.blackbody,,
BlackFennec,org.blackfennec.app,,
Blanket,com.rafaelmardojai.Blanket,,
Bless,com.github.afrantzis.Bless,,
Blinken,org.kde.blinken,,
Blobby Volley 2,de.blobbyvolley.BlobbyVolley2,,
Block Attack - Rise of the Blocks,net.blockattack.game,,
BlockOut II,net.blockout.BlockOutII,,
Blue Recorder,sa.sy.bluerecorder,,
BlueBubbles,app.bluebubbles.BlueBubbles,,
Bluefish,nl.openoffice.bluefish,,
BlueJ,org.bluej.BlueJ,,
Bluray Java menus (BDJ) plugin for VLC,org.videolan.VLC.Plugin.bdj,,
Bluray Java menus (BDJ) plugin for VLC,org.videolan.VLC.Plugin.bdj,,
Bluray Java menus (BDJ) plugin for VLC,org.videolan.VLC.Plugin.bdj,,
Bluray Java menus (BDJ) plugin for VLC,org.videolan.VLC.Plugin.bdj,,
Blurble,app.drey.Blurble,,
Boatswain,com.feaneron.Boatswain,,
BoilR,io.github.philipk.boilr,,
BOINC Manager,edu.berkeley.BOINC,,
Bomber,org.kde.bomber,,
Bombermaaan,com.github.bjaraujo.Bombermaaan,,
Bookworm,com.github.babluboy.bookworm,,
Boop-GTK,fyi.zoey.Boop-GTK,,
Bootqt,io.github.giantpinkrobots.bootqt,,
Bovo,org.kde.bovo,,
Boxen,org.gnome.Boxes,,
Boxi,dev.boxi.Boxi,,
Boxy SVG,com.boxy_svg.BoxySVG,,
Breeze GTK theme,org.gtk.Gtk3theme.Breeze,,
Briar,org.briarproject.Briar,,
BrogueCE,com.github.tmewett.BrogueCE,,
bsnes,dev.bsnes.bsnes,,
Bugdom,io.jor.bugdom,,
Builder,org.flatpak.Builder,,
Builder,org.gnome.Builder,,
Bustle,org.freedesktop.Bustle,,
BWF MetaEdit,net.mediaarea.BWFMetaEdit,,
Byte,com.github.alainm23.byte,,
BZFlag,org.bzflag.BZFlag,,
C-Dogs SDL,io.github.cxong.cdogs-sdl,,
C* Music Player,io.github.cmus.cmus,,
CalCleaner,org.flozz.calcleaner,,
Calculator,org.kde.kalk,,
Calculus,com.github.carlos157oliveira.Calculus,,
Calf,org.freedesktop.LinuxAudio.Plugins.Calf,,
Calf,org.freedesktop.LinuxAudio.Plugins.Calf,,
calibre,com.calibre_ebook.calibre,,
Calls,org.gnome.Calls,,
Cambalache,ar.xjuan.Cambalache,,
cameractrls,hu.irl.cameractrls,,
Cantara,app.cantara.Cantara,,
Cantor,org.kde.cantor,,
Cap: Pirate Battleship,net.tedomum.CapBattleship,,
Caprine,com.sindresorhus.Caprine,,
CAPS,org.freedesktop.LinuxAudio.Plugins.CAPS,,
CAPS,org.freedesktop.LinuxAudio.Plugins.CAPS,,
CAPS,org.freedesktop.LinuxAudio.Plugins.CAPS,,
Cardinal,org.freedesktop.LinuxAudio.Plugins.Cardinal,,
Carla,studio.kx.carla,,
Catppuccin (blue) Gtk Theme,org.gtk.Gtk3theme.Catppuccin-blue,,
